,MEL,NV,BCC,AKIEC,BKL,DF,VASC
MEL,16,2,0,0,2,1,0
NV,0,120,2,0,1,0,0
BCC,0,0,14,1,0,0,0
AKIEC,0,1,0,7,0,0,0
BKL,3,2,0,1,15,1,0
DF,0,0,0,0,1,0,0
VASC,0,0,0,0,0,0,3
